pt1_dltres,pt2_dltres,pt3_dltres,pt4_dltres
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
6.477030,3.577060,1.038939,0.105962
6.007628,1.134466,5.058340,1.516965
6.833940,NaN,0.883884,1.194578
4.670509,5.434197,0.479049,3.122123
4.919111,3.520744,6.019171,0.818487
5.844963,2.369919,5.848041,0.683522
6.076270,1.269592,1.758426,1.875031
6.812869,10.348380,1.602112,2.648574
6.292975,4.334919,1.371083,3.744203
6.564709,3.743671,2.578670,2.770952
6.023365,2.343800,3.522002,1.428908
5.742288,0.600424,0.744774,1.427004
4.563971,1.114704,0.856649,0.898865
5.194459,2.520582,0.905497,5.846465
6.493973,3.442731,0.715492,1.651004
8.759718,1.932630,0.034579,0.622101
6.555640,5.543647,0.572941,1.097371
2.466225,4.486549,3.585547,6.457949
5.060907,2.151300,1.137855,2.334105
6.824040,2.080217,0.696674,6.927003
6.365136,4.549107,5.819887,0.384833
5.875806,3.118719,2.287618,6.072491
6.968010,8.323561,1.529938,2.495630
0.206648,3.251455,1.714923,2.281345
5.209762,3.152824,0.902882,1.597116
2.089019,1.760137,1.192219,1.288991
3.388663,0.358651,1.071703,1.124827
5.182488,0.356397,1.288940,0.739391
5.879266,0.559704,0.076148,1.903219
5.834968,3.246246,1.645509,2.612656
2.985199,4.710739,1.612942,2.688124
4.508784,1.905571,0.740689,1.449078
6.594324,5.474440,1.950590,1.349226
7.112762,3.479447,2.166448,6.607277
1.122452,2.092142,2.434111,0.254318
0.400737,6.186222,2.380048,0.474986
6.540582,7.398894,1.102460,0.063275
6.040444,2.207369,0.105006,2.110328
9.180784,2.190235,1.547355,0.106053
4.424678,1.085720,1.981739,0.710903
4.679764,1.970868,1.573604,9.031089
5.017481,3.716731,2.300011,6.723939
6.325316,5.410352,1.406182,3.387436
7.688485,5.430897,1.910117,6.005560
5.515967,2.866151,2.412932,0.746118
3.443695,NaN,1.557173,3.390570
2.526943,3.085683,1.742559,2.065358
4.557196,3.857657,1.787080,2.152494
